Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;94,00;47,00;0,00
2019-01-13;0,00;0,00;0,00
2019-01-20;0,00;0,00;0,00
2019-01-27;91,00;0,00;0,00
2019-02-03;0,00;0,00;0,00
2019-02-10;0,00;0,00;0,00
2019-02-17;48,00;0,00;0,00
2019-02-24;0,00;0,00;0,00
2019-03-03;0,00;0,00;0,00
2019-03-10;95,00;0,00;0,00
2019-03-17;0,00;48,00;0,00
2019-03-24;0,00;0,00;49,00
2019-03-31;47,00;0,00;0,00
2019-04-07;50,00;0,00;0,00
2019-04-14;0,00;0,00;0,00
2019-04-21;0,00;0,00;0,00
2019-04-28;0,00;0,00;0,00
2019-05-05;0,00;0,00;0,00
2019-05-12;0,00;0,00;0,00
2019-05-19;46,00;45,00;0,00
2019-05-26;0,00;0,00;0,00
2019-06-02;0,00;0,00;0,00
2019-06-09;0,00;0,00;0,00
2019-06-16;0,00;0,00;0,00
2019-06-23;0,00;0,00;0,00
2019-06-30;50,00;0,00;49,00
2019-07-07;0,00;0,00;0,00
2019-07-14;0,00;51,00;0,00
2019-07-21;0,00;0,00;54,00
2019-07-28;0,00;0,00;52,00
2019-08-04;51,00;0,00;0,00
2019-08-11;100,00;0,00;0,00
2019-08-18;0,00;50,00;0,00
2019-08-25;96,00;0,00;0,00
2019-09-01;0,00;0,00;0,00
2019-09-08;48,00;47,00;0,00
2019-09-15;47,00;0,00;0,00
2019-09-22;0,00;0,00;0,00
2019-09-29;0,00;0,00;0,00
2019-10-06;0,00;45,00;0,00
2019-10-13;45,00;0,00;0,00
2019-10-20;0,00;0,00;0,00
2019-10-27;0,00;0,00;0,00
2019-11-03;0,00;43,00;0,00
2019-11-10;0,00;0,00;0,00
2019-11-17;44,00;0,00;0,00
2019-11-24;43,00;0,00;0,00
2019-12-01;88,00;0,00;44,00
2019-12-08;0,00;43,00;43,00
2019-12-15;43,00;0,00;0,00
2019-12-22;47,00;47,00;0,00
2019-12-29;0,00;0,00;0,00
2020-01-05;41,00;0,00;0,00
2020-01-12;81,00;0,00;0,00
2020-01-19;0,00;42,00;0,00
2020-01-26;42,00;0,00;0,00
2020-02-02;0,00;0,00;42,00
2020-02-09;0,00;0,00;0,00
2020-02-16;0,00;0,00;0,00
2020-02-23;0,00;0,00;0,00
2020-03-01;0,00;0,00;41,00
2020-03-08;0,00;0,00;0,00
2020-03-15;39,00;0,00;39,00
2020-03-22;0,00;0,00;0,00
2020-03-29;0,00;0,00;0,00
2020-04-05;0,00;0,00;0,00
2020-04-12;0,00;0,00;0,00
2020-04-19;0,00;37,00;37,00
2020-04-26;37,00;0,00;0,00
2020-05-03;0,00;0,00;0,00
2020-05-10;37,00;74,00;0,00
2020-05-17;39,00;0,00;0,00
2020-05-24;0,00;0,00;0,00
2020-05-31;0,00;0,00;0,00
2020-06-07;0,00;0,00;0,00
2020-06-14;0,00;0,00;0,00
2020-06-21;0,00;0,00;0,00
2020-06-28;0,00;0,00;0,00
2020-07-05;0,00;0,00;0,00
2020-07-12;0,00;43,00;0,00
2020-07-19;45,00;0,00;0,00
2020-07-26;0,00;0,00;0,00
2020-08-02;42,00;0,00;0,00
2020-08-09;0,00;0,00;0,00
2020-08-16;40,00;0,00;0,00
2020-08-23;40,00;0,00;0,00
2020-08-30;0,00;0,00;0,00
2020-09-06;0,00;0,00;0,00
2020-09-13;83,00;41,00;0,00
2020-09-20;40,00;0,00;0,00
2020-09-27;40,00;0,00;0,00
2020-10-04;0,00;41,00;0,00
2020-10-11;0,00;43,00;0,00
2020-10-18;0,00;0,00;0,00
2020-10-25;40,00;0,00;0,00
2020-11-01;0,00;0,00;0,00
2020-11-08;0,00;0,00;0,00
2020-11-15;0,00;0,00;0,00
2020-11-22;0,00;0,00;0,00
2020-11-29;40,00;0,00;0,00
2020-12-06;0,00;0,00;0,00
2020-12-13;0,00;0,00;0,00
2020-12-20;0,00;0,00;0,00
2020-12-27;0,00;0,00;0,00
2021-01-03;0,00;0,00;0,00
2021-01-10;41,00;0,00;0,00
2021-01-17;0,00;0,00;0,00
2021-01-24;40,00;0,00;0,00
2021-01-31;41,00;0,00;0,00
2021-02-07;0,00;0,00;0,00
2021-02-14;42,00;0,00;0,00
2021-02-21;42,00;0,00;0,00
2021-02-28;42,00;0,00;0,00
2021-03-07;0,00;40,00;40,00
2021-03-14;0,00;0,00;0,00
2021-03-21;0,00;0,00;0,00
2021-03-28;0,00;0,00;0,00
2021-04-04;0,00;0,00;0,00
2021-04-11;41,00;0,00;0,00
2021-04-18;43,00;0,00;0,00
2021-04-25;42,00;0,00;0,00
2021-05-02;40,00;0,00;0,00
2021-05-09;0,00;0,00;0,00
2021-05-16;0,00;0,00;0,00
2021-05-23;0,00;0,00;0,00
2021-05-30;43,00;0,00;0,00
2021-06-06;0,00;0,00;0,00
2021-06-13;0,00;0,00;41,00
2021-06-20;0,00;0,00;0,00
2021-06-27;0,00;0,00;0,00
2021-07-04;0,00;44,00;0,00
2021-07-11;92,00;0,00;0,00
2021-07-18;0,00;0,00;0,00
2021-07-25;47,00;0,00;0,00
2021-08-01;0,00;0,00;0,00
2021-08-08;0,00;0,00;0,00
2021-08-15;0,00;0,00;0,00
2021-08-22;0,00;0,00;0,00
2021-08-29;0,00;0,00;0,00
2021-09-05;0,00;0,00;0,00
2021-09-12;0,00;0,00;0,00
2021-09-19;0,00;49,00;0,00
2021-09-26;0,00;48,00;48,00
2021-10-03;0,00;48,00;48,00
2021-10-10;0,00;0,00;0,00
