Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;39,00;11,56;0,00;24,56;20,22;12,00;44,00;32,00;13,00
2019-01-13;40,00;11,43;61,43;21,43;44,29;19,00;50,00;27,00;4,00
2019-01-20;56,00;43,08;37,33;21,54;71,79;11,00;32,00;34,00;3,00
2019-01-27;49,00;31,71;12,97;31,71;57,65;7,00;32,00;19,00;4,00
2019-02-03;58,00;32,54;38,20;29,71;56,59;14,00;33,00;25,00;2,00
2019-02-10;48,00;45,09;78,55;30,55;97,45;21,00;28,00;23,00;3,00
2019-02-17;53,00;22,92;40,11;11,46;77,35;17,00;35,00;21,00;4,00
2019-02-24;69,00;33,06;25,88;25,88;76,19;19,00;28,00;27,00;4,00
2019-03-03;52,00;0,00;0,00;14,44;76,56;19,00;17,00;22,00;3,00
2019-03-10;60,00;11,43;25,71;15,71;72,86;19,00;11,00;24,00;6,00
2019-03-17;64,00;68,27;39,82;29,87;72,53;12,00;33,00;34,00;3,00
2019-03-24;70,00;22,86;25,71;22,86;45,71;39,00;17,00;17,00;4,00
2019-03-31;53,00;21,49;50,14;18,62;42,97;9,00;11,00;20,00;6,00
2019-04-07;47,00;48,47;11,75;22,03;89,59;9,00;22,00;25,00;5,00
2019-04-14;60,00;35,71;14,29;25,71;40,00;5,00;17,00;25,00;3,00
2019-04-21;79,00;117,04;14,63;19,02;71,69;10,00;40,00;33,00;6,00
2019-04-28;54,00;21,89;0,00;7,30;65,68;18,00;21,00;28,00;6,00
2019-05-05;46,00;51,75;24,44;23,00;80,50;13,00;0,00;26,00;3,00
2019-05-12;37,00;0,00;24,19;21,35;56,92;22,00;16,00;31,00;5,00
2019-05-19;62,00;41,81;73,53;17,30;70,65;11,00;32,00;38,00;5,00
2019-05-26;49,00;21,62;67,74;18,74;64,85;11,00;16,00;43,00;10,00
2019-06-02;62,00;40,37;50,47;25,95;99,49;28,00;30,00;24,00;4,00
2019-06-09;67,00;52,43;50,98;29,13;104,87;12,00;53,00;28,00;2,00
2019-06-16;61,00;31,95;26,14;18,88;92,95;7,00;32,00;28,00;5,00
2019-06-23;57,00;46,77;40,92;10,23;103,77;5,00;32,00;29,00;4,00
2019-06-30;68,00;57,87;66,55;41,96;99,83;19,00;48,00;36,00;4,00
2019-07-07;57,00;0,00;0,00;17,54;97,92;14,00;43,00;27,00;3,00
2019-07-14;63,00;36,63;0,00;36,63;146,51;19,00;23,00;33,00;3,00
2019-07-21;82,00;24,46;46,04;21,58;116,53;22,00;53,00;16,00;5,00
2019-07-28;82,00;48,91;15,82;37,40;112,21;15,00;24,00;16,00;7,00
2019-08-04;87,00;47,07;28,52;25,67;118,38;18,00;18,00;26,00;4,00
2019-08-11;74,00;44,98;39,18;20,31;111,73;11,00;28,00;27,00;4,00
2019-08-18;80,00;34,91;13,09;32,00;72,73;15,00;29,00;31,00;3,00
2019-08-25;50,00;44,29;25,71;31,43;65,71;14,00;33,00;29,00;5,00
2019-09-01;30,00;64,29;24,29;17,14;62,86;6,00;21,00;35,00;4,00
2019-09-08;55,00;44,87;24,61;23,16;36,18;13,00;22,00;32,00;5,00
2019-09-15;60,00;11,71;13,17;19,02;27,80;17,00;21,00;31,00;8,00
2019-09-22;45,00;20,32;13,06;10,16;39,19;11,00;26,00;30,00;4,00
2019-09-29;54,00;31,26;12,79;11,37;35,53;17,00;35,00;29,00;7,00
2019-10-06;75,00;41,83;12,98;8,65;44,71;13,00;20,00;22,00;4,00
2019-10-13;50,00;0,00;24,29;18,57;32,86;2,00;10,00;20,00;6,00
2019-10-20;64,00;52,36;36,36;16,00;40,73;8,00;11,00;32,00;5,00
2019-10-27;60,00;54,15;36,59;23,41;49,76;15,00;15,00;23,00;5,00
2019-11-03;56,00;50,26;11,49;22,97;27,28;4,00;10,00;21,00;3,00
2019-11-10;53,00;51,57;11,46;15,76;34,38;6,00;20,00;22,00;5,00
2019-11-17;43,00;20,07;11,47;24,37;37,27;2,00;36,00;19,00;6,00
2019-11-24;37,00;9,96;11,38;8,54;24,19;2,00;15,00;19,00;6,00
2019-12-01;55,00;10,13;60,79;15,92;30,39;4,00;16,00;25,00;4,00
2019-12-08;45,00;30,48;36,29;15,97;45,00;7,00;21,00;28,00;5,00
2019-12-15;28,00;10,32;0,00;19,16;28,00;16,00;10,00;30,00;7,00
2019-12-22;57,00;21,38;14,25;9,98;32,78;10,00;11,00;37,00;12,00
2019-12-29;63,00;31,50;40,09;17,18;32,93;21,00;16,00;30,00;8,00
2020-01-05;57,00;78,92;11,69;23,38;43,85;13,00;59,00;51,00;11,00
2020-01-12;56,00;66,05;22,97;24,41;56,00;16,00;43,00;28,00;12,00
2020-01-19;67,00;29,13;11,65;20,39;30,59;16,00;30,00;31,00;11,00
2020-01-26;53,00;58,73;44,41;20,05;54,43;8,00;30,00;36,00;9,00
2020-02-02;67,00;38,49;34,21;19,96;57,02;8,00;20,00;25,00;10,00
2020-02-09;67,00;39,33;34,96;29,13;49,52;14,00;29,00;20,00;9,00
2020-02-16;59,00;28,78;11,51;23,02;64,76;6,00;15,00;29,00;6,00
2020-02-23;43,00;0,00;11,47;14,33;61,63;8,00;10,00;32,00;7,00
2020-03-01;33,00;18,65;11,48;12,91;31,57;2,00;14,00;21,00;8,00
2020-03-08;23,00;37,38;10,06;12,94;30,19;0,00;14,00;14,00;6,00
2020-03-15;15,00;0,00;9,55;2,73;23,18;2,00;9,00;13,00;6,00
2020-03-22;5,00;0,00;8,75;2,50;12,50;3,00;5,00;11,00;6,00
2020-03-29;7,00;16,80;9,80;7,00;5,60;0,00;4,00;7,00;5,00
2020-04-05;5,00;0,00;0,00;3,75;11,25;2,00;0,00;7,00;4,00
2020-04-12;7,00;0,00;0,00;7,00;12,60;2,00;5,00;14,00;7,00
2020-04-19;14,00;18,67;10,89;4,67;15,56;2,00;5,00;13,00;6,00
2020-04-26;5,00;0,00;8,75;3,75;8,75;7,00;9,00;9,00;6,00
2020-05-03;5,00;0,00;8,75;7,50;13,75;0,00;0,00;12,00;6,00
2020-05-10;14,00;0,00;23,33;6,22;23,33;5,00;9,00;11,00;7,00
2020-05-17;19,00;8,77;11,69;8,77;32,15;0,00;0,00;16,00;7,00
2020-05-24;20,00;17,14;0,00;15,71;32,86;12,00;18,00;13,00;7,00
2020-05-31;53,00;0,00;21,49;17,19;34,38;4,00;13,00;20,00;10,00
2020-06-07;33,00;33,00;41,61;15,78;22,96;11,00;17,00;29,00;30,00
2020-06-14;50,00;34,29;0,00;17,14;50,00;8,00;13,00;25,00;15,00
2020-06-21;52,00;8,67;0,00;14,44;72,22;21,00;14,00;29,00;20,00
2020-06-28;56,00;78,97;11,49;21,54;57,44;8,00;31,00;25,00;7,00
2020-07-05;69,00;56,06;47,44;20,13;48,88;11,00;23,00;26,00;10,00
2020-07-12;54,00;19,89;35,53;25,58;65,37;11,00;10,00;23,00;7,00
2020-07-19;72,00;21,60;11,52;12,96;51,84;11,00;15,00;26,00;10,00
2020-07-26;67,00;30,59;13,11;11,65;74,28;16,00;15,00;17,00;12,00
2020-08-02;88,00;67,80;0,00;27,41;115,41;11,00;5,00;25,00;10,00
2020-08-09;83,00;27,67;11,65;26,21;91,74;12,00;24,00;27,00;9,00
2020-08-16;85,00;37,46;34,58;20,17;79,24;11,00;10,00;19,00;9,00
2020-08-23;34,00;19,22;11,83;11,83;39,91;13,00;23,00;18,00;9,00
2020-08-30;41,00;57,11;21,96;13,18;48,32;8,00;14,00;17,00;8,00
2020-09-06;50,00;29,41;11,76;13,24;30,88;2,00;23,00;16,00;10,00
2020-09-13;49,00;10,09;11,53;10,09;25,94;4,00;29,00;18,00;8,00
2020-09-20;30,00;0,00;11,43;17,14;30,00;4,00;23,00;18,00;4,00
2020-09-27;41,00;8,48;33,93;22,62;14,14;2,00;14,00;11,00;7,00
2020-10-04;29,00;10,15;34,80;33,35;14,50;4,00;29,00;29,00;9,00
2020-10-11;37,00;19,92;35,58;24,19;24,19;4,00;0,00;14,00;9,00
2020-10-18;45,00;0,00;36,29;26,13;20,32;2,00;20,00;18,00;10,00
2020-10-25;12,00;0,00;0,00;18,00;18,00;4,00;5,00;28,00;7,00
2020-11-01;12,00;16,00;0,00;26,67;10,67;0,00;5,00;30,00;7,00
2020-11-08;27,00;0,00;11,37;17,05;17,05;2,00;5,00;23,00;7,00
2020-11-15;13,00;0,00;23,11;23,11;2,89;0,00;5,00;18,00;8,00
2020-11-22;17,00;9,92;11,33;14,17;14,17;6,00;5,00;15,00;6,00
2020-11-29;33,00;8,61;0,00;15,78;14,35;0,00;5,00;24,00;9,00
2020-12-06;28,00;19,16;0,00;8,84;7,37;0,00;0,00;20,00;6,00
2020-12-13;25,00;10,29;0,00;23,53;17,65;0,00;5,00;15,00;8,00
