Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;64,00;20,00;16,00;33,00;54,00;14,00;45,00;49,00;2,00
2019-01-13;68,00;17,00;15,00;28,00;49,00;16,33;33,69;40,83;2,04
2019-01-20;57,00;11,00;13,00;28,00;44,00;13,69;31,29;30,31;0,98
2019-01-27;54,00;4,00;10,00;29,00;32,00;13,00;30,00;28,00;1,00
2019-02-03;51,00;8,00;10,00;28,00;33,00;8,00;22,00;31,00;1,00
2019-02-10;41,00;18,00;10,00;31,00;38,00;8,00;23,00;28,00;1,00
2019-02-17;38,00;14,00;11,00;32,00;39,00;8,21;22,58;34,89;1,03
2019-02-24;48,00;10,00;10,00;27,00;37,00;9,00;28,00;25,00;1,00
2019-03-03;62,00;13,00;9,00;26,00;34,00;9,71;28,17;33,03;0,97
2019-03-10;49,00;24,00;12,00;28,00;33,00;16,00;29,00;31,00;2,00
2019-03-17;54,00;12,00;11,00;38,00;50,00;12,00;31,00;49,00;1,00
2019-03-24;58,00;14,00;11,00;38,00;48,00;13,28;29,62;35,74;1,02
2019-03-31;65,00;14,00;14,00;31,00;47,00;13,71;37,21;28,40;0,98
2019-04-07;75,00;16,00;14,00;28,00;52,00;13,00;24,00;28,00;1,00
2019-04-14;54,00;32,00;19,00;28,00;52,00;12,00;35,00;30,00;1,00
2019-04-21;48,00;17,00;16,00;27,00;51,00;17,00;37,00;26,00;1,00
2019-04-28;46,00;12,00;13,00;25,00;48,00;13,00;34,00;25,00;1,00
2019-05-05;40,00;12,00;15,00;28,00;41,00;12,00;28,00;25,00;2,00
2019-05-12;47,00;17,00;16,00;28,00;41,00;10,00;20,00;26,00;1,00
2019-05-19;41,00;17,00;17,00;25,00;40,00;12,00;26,00;33,00;1,00
2019-05-26;49,00;21,00;16,00;24,00;49,00;10,21;27,56;29,60;1,02
2019-06-02;45,00;15,00;17,00;28,00;42,00;11,00;27,00;30,00;1,00
2019-06-09;45,00;12,00;17,00;26,00;45,00;11,74;25,43;23,48;0,98
2019-06-16;42,00;5,00;17,00;29,00;50,00;14,00;21,00;26,00;1,00
2019-06-23;45,00;5,00;10,00;21,00;51,00;14,28;28,56;25,50;1,02
2019-06-30;42,00;9,00;15,00;28,00;49,00;12,00;30,00;29,00;1,00
2019-07-07;65,00;16,00;15,00;30,00;47,00;13,00;42,00;32,00;1,00
2019-07-14;72,00;14,00;15,00;36,00;65,00;13,20;39,61;31,48;1,02
2019-07-21;54,00;17,00;19,00;32,00;47,00;16,35;29,63;32,70;1,02
2019-07-28;65,00;11,00;18,00;27,00;59,00;16,72;35,40;35,40;0,98
2019-08-04;86,00;11,00;17,00;35,00;61,00;15,00;37,00;29,00;1,00
2019-08-11;69,00;14,00;15,00;37,00;65,00;20,00;26,00;33,00;1,00
2019-08-18;67,00;11,00;14,00;31,00;62,00;15,75;32,48;31,49;0,98
2019-08-25;55,00;12,00;17,00;35,00;54,00;15,00;29,00;31,00;1,00
2019-09-01;47,00;15,00;14,00;31,00;47,00;15,00;38,00;34,00;1,00
2019-09-08;72,00;9,00;14,00;24,00;58,00;14,00;43,00;34,00;1,00
2019-09-15;78,00;12,00;15,00;28,00;54,00;13,00;31,00;36,00;1,00
2019-09-22;92,00;26,00;15,00;32,00;59,00;10,00;39,00;35,00;1,00
2019-09-29;65,00;29,00;18,00;24,00;53,00;15,00;35,00;30,00;1,00
2019-10-06;57,00;22,00;15,00;23,00;61,00;12,00;50,00;33,00;1,00
2019-10-13;71,00;24,00;15,00;19,00;65,00;16,00;40,00;32,00;1,00
2019-10-20;67,00;12,00;13,00;16,00;71,00;17,00;27,00;32,00;1,00
2019-10-27;48,00;14,00;13,00;20,00;61,00;15,00;26,00;31,00;1,00
2019-11-03;59,00;13,00;13,00;28,00;53,00;15,00;29,00;26,00;1,00
2019-11-10;74,00;12,00;11,00;27,00;62,00;14,76;29,52;24,60;0,98
2019-11-17;61,00;14,00;14,00;34,00;62,00;18,30;28,46;22,36;1,02
2019-11-24;47,00;9,00;9,00;26,00;51,00;13,73;34,33;20,60;0,98
2019-12-01;46,00;5,00;11,00;20,00;51,00;14,28;29,58;19,38;1,02
2019-12-08;59,00;14,00;10,00;20,00;49,00;9,80;23,52;20,58;0,98
2019-12-15;43,00;12,00;12,00;14,00;54,00;11,21;27,51;21,40;2,04
2019-12-22;82,00;11,00;17,00;24,00;86,00;13,15;38,45;32,38;2,02
2019-12-29;66,00;21,00;18,00;20,00;73,00;15,78;39,46;48,34;1,97
2020-01-05;60,00;17,00;19,00;27,00;56,00;16,00;44,00;40,00;2,00
2020-01-12;65,00;11,00;22,00;30,00;53,00;19,37;29,56;41,79;2,04
2020-01-19;65,00;15,00;14,00;24,00;44,00;21,00;39,00;36,00;2,00
2020-01-26;54,00;14,00;15,00;22,00;48,00;21,45;34,72;37,79;2,04
2020-02-02;50,00;10,00;10,00;33,00;48,00;11,23;29,62;33,70;1,02
2020-02-09;43,00;10,00;13,00;31,00;50,00;14,00;25,00;35,00;2,00
2020-02-16;49,00;11,00;13,00;30,00;64,00;12,00;37,00;41,00;2,00
2020-02-23;65,00;14,00;13,00;31,00;66,00;6,90;31,52;30,54;1,97
2020-03-01;63,00;14,00;15,00;30,00;59,00;8,85;39,33;33,43;1,97
2020-03-08;90,00;14,00;22,00;40,00;100,00;7,00;46,00;50,00;2,00
2020-03-15;16,00;4,00;6,00;7,00;12,00;3,00;12,00;10,00;1,00
2020-03-22;10,00;3,00;5,00;8,00;12,00;4,00;9,00;7,00;1,00
2020-03-29;11,00;4,00;6,00;11,00;13,00;6,00;8,00;11,00;1,00
2020-04-05;13,00;6,00;6,00;9,00;14,00;4,00;7,00;12,00;1,00
2020-04-12;18,00;4,00;7,00;12,00;19,00;7,39;10,56;13,72;1,06
2020-04-19;15,00;6,00;4,00;8,00;17,00;3,00;11,00;9,00;1,00
2020-04-26;14,00;1,00;5,00;9,00;15,00;4,00;9,00;12,00;1,00
2020-05-03;13,00;3,00;6,00;6,00;12,00;4,00;10,00;11,00;1,00
2020-05-10;16,00;3,00;6,00;7,00;15,00;4,00;13,00;11,00;1,00
2020-05-17;8,00;7,00;4,00;5,00;18,00;5,00;10,00;11,00;1,00
2020-05-24;17,00;4,00;6,00;8,00;16,00;4,00;11,00;11,00;1,00
