Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;22,00;54,00;18,00;10,00;5,00;91,67;25,67;44,00;11,00
2019-01-13;25,00;46,00;8,00;7,00;5,00;96,43;39,29;42,86;7,14
2019-01-20;23,00;51,00;27,00;9,00;5,00;82,14;29,57;42,71;9,86
2019-01-27;28,00;51,00;23,00;10,00;7,00;77,00;28,00;42,00;10,50
2019-02-03;36,00;40,00;22,00;8,00;6,00;65,45;22,91;39,27;9,82
2019-02-10;35,00;46,00;23,00;10,00;5,00;84,00;35,00;42,00;10,50
2019-02-17;34,00;46,00;27,00;8,00;6,00;91,80;37,40;44,20;10,20
2019-02-24;41,00;48,00;19,00;10,00;6,00;82,00;27,33;51,25;6,83
2019-03-03;32,00;41,00;32,00;8,00;7,00;85,33;35,56;42,67;10,67
2019-03-10;36,00;40,00;33,00;9,00;7,00;100,80;32,40;46,80;10,80
2019-03-17;38,00;41,00;22,00;8,00;7,00;107,09;27,64;44,91;10,36
2019-03-24;39,00;42,00;30,00;12,00;9,00;100,75;32,50;39,00;9,75
2019-03-31;36,00;37,00;17,00;8,00;5,00;108,00;42,55;42,55;9,82
2019-04-07;34,00;39,00;28,00;9,00;6,00;119,00;34,00;51,00;10,20
2019-04-14;37,00;38,00;32,00;11,00;9,00;114,36;33,64;53,82;6,73
2019-04-21;36,00;37,00;28,00;7,00;6,00;130,91;36,00;45,82;9,82
2019-04-28;34,00;32,00;23,00;10,00;5,00;115,60;44,20;51,00;10,20
2019-05-05;29,00;43,00;30,00;11,00;6,00;103,11;25,78;45,11;9,67
2019-05-12;30,00;39,00;26,00;6,00;4,00;116,67;40,00;46,67;10,00
2019-05-19;32,00;51,00;21,00;9,00;7,00;113,78;35,56;53,33;10,67
2019-05-26;38,00;53,00;34,00;11,00;6,00;117,45;41,45;55,27;13,82
2019-06-02;40,00;55,00;32,00;8,00;9,00;143,33;40,00;50,00;10,00
2019-06-09;32,00;73,00;31,00;11,00;7,00;177,78;42,67;53,33;10,67
2019-06-16;40,00;53,00;30,00;12,00;6,00;173,33;30,00;53,33;10,00
2019-06-23;33,00;38,00;32,00;8,00;7,00;194,70;36,30;52,80;13,20
2019-06-30;36,00;90,00;35,00;13,00;9,00;202,91;39,27;55,64;9,82
2019-07-07;41,00;70,00;33,00;11,00;7,00;218,67;58,08;54,67;13,67
2019-07-14;48,00;100,00;42,00;13,00;7,00;202,29;54,86;61,71;13,71
2019-07-21;46,00;91,00;34,00;10,00;12,00;222,92;60,15;63,69;14,15
2019-07-28;49,00;83,00;34,00;11,00;10,00;245,00;49,00;63,00;10,50
2019-08-04;57,00;67,00;45,00;13,00;10,00;288,35;57,00;63,71;10,06
2019-08-11;52,00;56,00;36,00;12,00;10,00;308,53;45,07;62,40;10,40
2019-08-18;46,00;66,00;16,00;10,00;9,00;213,57;42,71;62,43;9,86
2019-08-25;41,00;44,00;28,00;8,00;7,00;157,17;37,58;58,08;10,25
2019-09-01;30,00;28,00;30,00;9,00;8,00;133,33;33,33;50,00;13,33
2019-09-08;32,00;38,00;23,00;8,00;7,00;138,67;39,11;56,89;10,67
